unit_num,street,city,prov,district,latitude,longitude,sold_date,dom,sold_price,listing_price,beds,baths,size,mls,brokerage,listing_date,street_num,app_num,full_address
1101-155,Yorkville Avenue,Toronto,ON,Annex,43.6704,-79.3943,2023-07-28,18,640000,645000,1,1,550.0,C6653090,RIGHT AT HOME REALTY,2023-07-10,155,1101,155 Yorkville Avenue Toronto ON
57-847,Sheppard Avenue W,Toronto,ON,Clanton Park,43.7524412,-79.45240208000001,2023-07-28,99,870000,899900,2,2,1100.0,C6039759,"RE/MAX PRIME PROPERTIES - UNIQUE GROUP, BROKERAGE",2023-04-20,847,57,847 Sheppard Avenue W Toronto ON
808-66,Forest Manor Road,Toronto,ON,Henry Farm,43.7744,-79.3459,2023-07-28,10,828500,788000,2,2,850.0,C6674154,BAY STREET GROUP INC.,2023-07-18,66,808,66 Forest Manor Road Toronto ON
67-1359,Neilson Road,Toronto,ON,Malvern,43.8089,-79.2194,2023-07-28,42,700000,569000,3,3,1100.0,E6168144,RE/MAX ROYAL PROPERTIES REALTY,2023-06-16,1359,67,1359 Neilson Road Toronto ON
224-9,Mabelle Avenue,Toronto,ON,Islington-city Centre West,43.6461,-79.526,2023-07-28,11,495000,499900,1,1,550.0,W6674724,ROYAL LEPAGE SIGNATURE REALTY,2023-07-17,9,224,9 Mabelle Avenue Toronto ON
910-761,Bay Street,Toronto,ON,Bay Street Corridor,43.6597,-79.385,2023-07-28,14,803000,818000,1,2,750.0,C6666920,ROYAL LEPAGE CONNECT REALTY,2023-07-14,761,910,761 Bay Street Toronto ON
96,Roseheath Avenue,Toronto,ON,East End-danforth,43.6835,-79.318,2023-07-28,9,1401000,999900,3,3,,E6676322,ROYAL LEPAGE GOLDEN RIDGE REALTY,2023-07-19,96,-999,96 Roseheath Avenue Toronto ON
202-20,Marina Avenue,Toronto,ON,Long Branch,43.5937,-79.5328,2023-07-28,37,8200000,888888,2,2,1100.0,W6190872,RIGHT AT HOME REALTY,2023-06-21,20,202,20 Marina Avenue Toronto ON
11-38,Gibson Avenue,Toronto,ON,Weston,43.7017,-79.5072,2023-07-28,66,625000,629000,2,2,950.0,W6029476,REAL ONE REALTY INC.,2023-05-23,38,11,38 Gibson Avenue Toronto ON
621-55,Merchant's Wharf,Toronto,ON,Waterfront Communities C8,43.6447,-79.3641,2023-07-28,22,738000,759000,1,1,650.0,C6641856,RE/MAX PROFESSIONALS INC.,2023-07-06,55,621,55 Merchant's Wharf Toronto ON
216,Maria Street,Toronto,ON,Junction Area,43.6666,-79.4798,2023-07-28,8,1075500,1079900,2,2,1300.0,W6683138,EXP REALTY,2023-07-20,216,-999,216 Maria Street Toronto ON
10,Donwoods Drive,Toronto,ON,Bridle Path-sunnybrook-york Mills,43.7367,-79.4044,2023-07-28,24,3375000,3495000,4,3,,C6636274,ROYAL LEPAGE/J,2023-07-04,10,-999,10 Donwoods Drive Toronto ON
18-232,St George Street,Toronto,ON,Annex,43.672,-79.4024,2023-07-28,3,845000,859500,2,1,850.0,C6692404,HOUSESIGMA INC.,2023-07-25,232,18,232 St George Street Toronto ON
3903-45,Charles Street,Toronto,ON,Church-yonge Corridor,43.6687,-79.384,2023-07-28,14,535188,450000,0,1,250.0,C6667592,HOMELIFE NEW WORLD REALTY INC.,2023-07-14,45,3903,45 Charles Street Toronto ON
16,Kipling Grove Court,Toronto,ON,Princess-rosethorn,43.6627,-79.5515,2023-07-28,17,1600000,1750000,3,4,3250.0,W6654984,BERKSHIRE HATHAWAY HOMESERVICES WEST REALTY,2023-07-11,16,-999,16 Kipling Grove Court Toronto ON
726-85,Queens Wharf Road,Toronto,ON,Waterfront Communities C1,43.6389,-79.3986,2023-07-28,32,715000,758000,1,1,750.0,C6215388,BAY STREET GROUP INC.,2023-06-26,85,726,85 Queens Wharf Road Toronto ON
236,Bessborough Drive,Toronto,ON,Leaside,43.7084,-79.371,2023-07-28,3,2500236,2198000,3,4,1750.0,C6693980,RE/MAX HALLMARK KATHY MCLACHLAN GROUP REALTY LTD.,2023-07-25,236,-999,236 Bessborough Drive Toronto ON
804-20,Guildwood Parkway,Toronto,ON,Guildwood,43.7484,-79.2045,2023-07-28,14,949000,949000,2,2,1500.0,E6667644,EVANOFF REAL ESTATE LTD.,2023-07-14,20,804,20 Guildwood Parkway Toronto ON
131-50,Carnation Avenue,Toronto,ON,Long Branch,43.6009,-79.5259,2023-07-28,28,868000,899900,2,2,1100.0,W6629054,ROYAL LEPAGE BURLOAK REAL ESTATE SERVICES,2023-06-30,50,131,50 Carnation Avenue Toronto ON
